"Date/Time","Year","Month","Day","Time","Data Quality","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2012-01-01 00:00","2012","01","01","00:00"," ","-1.8","","-3.9","","86","","24","","4","","8.0","","101.24","","","","-3","","Fog"
"2012-01-01 01:00","2012","01","01","01:00"," ","-1.8","","-3.7","","87","","25","","4","","8.0","","101.24","","","","-3","","Fog"
"2012-01-01 02:00","2012","01","01","02:00"," ","-1.8","","-3.4","","89","","23","","7","","4.0","","101.26","","","","-4","","Freezing Drizzle,Fog"
"2012-01-01 03:00","2012","01","01","03:00"," ","-1.5","","-3.2","","88","","23","","6","","4.0","","101.27","","","","-4","","Freezing Drizzle,Fog"
"2012-01-01 04:00","2012","01","01","04:00"," ","-1.5","","-3.3","","88","","23","","7","","4.8","","101.23","","","","-4","","Fog"
"2012-01-01 05:00","2012","01","01","05:00"," ","-1.4","","-3.3","","87","","23","","9","","6.4","","101.27","","","","-5","","Fog"
"2012-01-01 06:00","2012","01","01","06:00"," ","-1.5","","-3.1","","89","","25","","7","","6.4","","101.29","","","","-4","","Fog"
"2012-01-01 07:00","2012","01","01","07:00"," ","-1.4","","-3.6","","85","","24","","7","","8.0","","101.26","","","","-4","","Fog"
"2012-01-01 08:00","2012","01","01","08:00"," ","-1.4","","-3.6","","85","","21","","9","","8.0","","101.23","","","","-5","","Fog"
"2012-01-01 09:00","2012","01","01","09:00"," ","-1.3","","-3.1","","88","","18","","15","","4.0","","101.20","","","","-6","","Fog"
"2012-01-01 10:00","2012","01","01","10:00"," ","-1.0","","-2.3","","91","","16","","9","","1.2","","101.15","","","","-4","","Fog"
"2012-01-01 11:00","2012","01","01","11:00"," ","-0.5","","-2.1","","89","","12","","7","","4.0","","100.98","","","","-3","","Fog"
"2012-01-01 12:00","2012","01","01","12:00"," ","-0.2","","-2.0","","88","","9","","9","","4.8","","100.79","","","","-3","","Fog"
"2012-01-01 13:00","2012","01","01","13:00"," ","0.2","","-1.7","","87","","10","","13","","4.8","","100.58","","","","","","Fog"
"2012-01-01 14:00","2012","01","01","14:00"," ","0.8","","-1.1","","87","","8","","20","","4.8","","100.31","","","","","","Fog"
"2012-01-01 15:00","2012","01","01","15:00"," ","1.8","","-0.4","","85","","9","","22","","6.4","","100.07","","","","","","Fog"
"2012-01-01 16:00","2012","01","01","16:00"," ","2.6","","-0.2","","82","","9","","13","","12.9","","99.93","","","","","","Mostly Cloudy"
"2012-01-01 17:00","2012","01","01","17:00"," ","3.0","","0.0","","81","","9","","13","","16.1","","99.81","","","","","","Cloudy"
"2012-01-01 18:00","2012","01","01","18:00"," ","3.8","","1.0","","82","","12","","15","","12.9","","99.74","","","","","","Rain"
"2012-01-01 19:00","2012","01","01","19:00"," ","3.1","","1.3","","88","","15","","15","","12.9","","99.68","","","","","","Rain"
"2012-01-01 20:00","2012","01","01","20:00"," ","3.2","","1.3","","87","","13","","19","","25.0","","99.50","","","","","","Cloudy"
"2012-01-01 21:00","2012","01","01","21:00"," ","4.0","","1.7","","85","","14","","20","","25.0","","99.39","","","","","","Cloudy"
"2012-01-01 22:00","2012","01","01","22:00"," ","4.4","","1.9","","84","","16","","24","","19.3","","99.32","","","","","","Rain Showers"
"2012-01-01 23:00","2012","01","01","23:00"," ","5.3","","2.0","","79","","20","","30","","25.0","","99.31","","","","","","Cloudy"
"2012-01-02 00:00","2012","01","02","00:00"," ","5.2","","1.5","","77","","22","","35","","25.0","","99.26","","","","","","Rain Showers"
"2012-01-02 01:00","2012","01","02","01:00"," ","4.6","","0.0","","72","","23","","39","","25.0","","99.26","","","","","","Cloudy"
"2012-01-02 02:00","2012","01","02","02:00"," ","3.9","","-0.9","","71","","23","","32","","25.0","","99.26","","","","","","Mostly Cloudy"
"2012-01-02 03:00","2012","01","02","03:00"," ","3.7","","-1.5","","69","","23","","33","","25.0","","99.30","","","","","","Mostly Cloudy"
"2012-01-02 04:00","2012","01","02","04:00"," ","2.9","","-2.3","","69","","23","","32","","25.0","","99.26","","","","","","Mostly Cloudy"
"2012-01-02 05:00","2012","01","02","05:00"," ","2.6","","-2.3","","70","","22","","32","","25.0","","99.21","","","","","","Mostly Cloudy"
"2012-01-02 06:00","2012","01","02","06:00"," ","2.3","","-2.6","","70","","22","","26","","25.0","","99.18","","","","","","Mostly Cloudy"
"2012-01-02 07:00","2012","01","02","07:00"," ","2.0","","-2.9","","70","","23","","33","","25.0","","99.14","","","","","","Mostly Cloudy"
"2012-01-02 08:00","2012","01","02","08:00"," ","1.9","","-3.3","","68","","23","","39","","24.1","","99.14","","","","","","Mostly Cloudy"
"2012-01-02 09:00","2012","01","02","09:00"," ","1.8","","-3.7","","67","","24","","44","","24.1","","99.14","","","","","","Mostly Cloudy"
"2012-01-02 10:00","2012","01","02","10:00"," ","1.5","","-4.1","","66","","25","","43","","24.1","","99.18","","","","","","Mostly Cloudy"
"2012-01-02 11:00","2012","01","02","11:00"," ","2.2","","-3.5","","66","","27","","30","","24.1","","99.19","","","","","","Mostly Cloudy"
"2012-01-02 12:00","2012","01","02","12:00"," ","1.7","","-6.2","","56","","27","","48","","24.1","","99.21","","","","","","Mainly Clear"
"2012-01-02 13:00","2012","01","02","13:00"," ","1.1","","-6.5","","57","","25","","37","","24.1","","99.27","","","","","","Mostly Cloudy"
"2012-01-02 14:00","2012","01","02","14:00"," ","1.1","","-6.8","","56","","28","","33","","24.1","","99.33","","","","","","Mostly Cloudy"
